iter	Passed	Remaining
0	133	133444
1	134	67098
2	135	44935
3	135	33839
4	136	27177
5	137	22740
6	138	19577
7	138	17212
8	139	15369
9	140	13895
10	141	12687
11	141	11672
12	142	10811
13	142	10071
14	143	9430
15	144	8877
16	145	8397
17	145	7963
18	146	7576
19	147	7225
20	148	6906
21	148	6615
22	149	6347
23	150	6103
24	150	5880
25	151	5674
26	152	5481
27	152	5301
28	153	5134
29	153	4977
30	154	4831
31	155	4694
32	155	4565
33	156	4444
34	157	4331
35	157	4223
36	158	4123
37	159	4027
38	159	3941
39	160	3857
40	161	3777
41	162	3702
42	163	3629
43	163	3560
44	164	3495
45	165	3432
46	166	3371
47	166	3311
48	167	3255
49	168	3201
50	169	3148
51	169	3097
52	170	3047
53	171	2998
54	171	2951
55	172	2906
56	173	2863
57	173	2821
58	174	2780
59	175	2742
60	175	2706
61	176	2670
62	177	2636
63	177	2602
64	178	2569
65	179	2537
66	179	2505
67	180	2470
68	180	2440
69	181	2412
70	182	2385
71	182	2357
72	183	2330
73	184	2304
74	184	2279
75	185	2254
76	186	2230
77	186	2207
78	187	2185
79	188	2163
80	188	2142
81	189	2121
82	190	2100
83	190	2080
84	191	2058
85	191	2039
86	192	2019
87	193	2001
88	194	1986
89	194	1969
90	195	1952
91	196	1936
92	197	1921
93	197	1906
94	198	1890
95	199	1876
96	200	1862
97	200	1849
98	201	1834
99	202	1820
100	203	1807
101	203	1790
102	204	1777
103	204	1763
104	205	1750
105	206	1739
106	206	1727
107	207	1714
108	208	1702
109	208	1690
110	209	1678
111	210	1666
112	210	1655
113	211	1643
114	212	1633
115	213	1623
116	213	1613
117	214	1603
118	215	1593
119	215	1583
120	216	1574
121	217	1564
122	217	1553
123	218	1544
124	219	1536
125	220	1527
126	220	1518
127	221	1508
128	222	1499
129	222	1490
130	223	1481
131	223	1472
132	224	1465
133	225	1457
134	226	1449
135	226	1441
136	227	1433
137	228	1424
138	228	1417
139	229	1409
140	230	1401
141	230	1394
142	231	1387
143	232	1380
144	232	1373
145	233	1365
146	234	1358
147	234	1351
148	235	1344
149	236	1337
150	236	1331
151	237	1324
152	238	1318
153	238	1312
154	239	1305
155	240	1299
156	240	1293
157	241	1287
158	242	1280
159	242	1274
160	243	1269
161	244	1263
162	244	1257
163	245	1251
164	246	1246
165	246	1240
166	247	1234
167	248	1229
168	248	1223
169	249	1218
170	250	1213
171	250	1207
172	251	1202
